,mean_accuracy,lr,alpha,tau,feature_maps,hidden_layers,surrogate_grad
81,0.8218181818181819,0.0001,0.99,0.9,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
82,0.8259187620889747,0.0001,0.85,0.9,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
83,0.8358745684695051,0.0001,0.99,0.9,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
84,0.8622542997542997,0.0001,0.85,0.9,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
85,0.8339920948616601,0.0001,0.99,0.9,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
86,0.9078947368421054,0.0001,0.85,0.9,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
87,0.5909090909090909,0.001,0.99,0.9,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
88,0.803698752228164,0.001,0.85,0.9,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
89,0.8174715909090908,0.001,0.99,0.9,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
90,0.7804314329738059,0.001,0.85,0.9,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
91,0.7359767891682786,0.001,0.99,0.9,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
92,0.7981601731601732,0.001,0.85,0.9,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
93,0.7715097402597403,0.001,0.99,0.9,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
94,0.7426136363636363,0.001,0.85,0.9,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
